SMILES,Reactant_set_id,IC50 (nM),MW,LogP,HBA,HBD,Rotatable Bonds
COc1cc2ncnc(Nc3ccc(Cl)c(Cl)c3F)c2cc1OC(=O)C=C,51489409,0.54,408.2160000000002,4.919300000000002,6,1,5
C\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7253,0.55,383.2490000000001,4.650500000000003,4,2,4
CN(CC(O)CO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5466,0.56,404.268,2.3203,7,3,6
COc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCCCn1ccnc1[N+]([O-])=O,50258414,0.56,458.4780000000004,4.327200000000003,9,1,10
C[C@@H](Nc1ncnc2[nH]c(cc12)-c1ccncc1)c1ccccc1,51381338,0.6,315.38000000000005,4.193000000000002,4,2,4
Brc1cccc(Nc2ncnc3cnc(NC(=O)C#C)cc23)c1,50836399,0.6,368.1940000000001,3.1026,5,2,3
COc1cccc(OC)c1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,51381345,0.6,374.444,4.815200000000004,5,2,6
OC[C@@H](Nc1ncnc2[nH]c(cc12)-c1ccc(CO)c(F)c1)c1ccccc1,51381369,0.6,378.407,3.401800000000001,5,4,6
OP(O)(=O)C1CCCN1C(=O)CCC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1,50983289,0.6,458.45100000000014,2.5032000000000005,4,3,9
COc1cnccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,51381359,0.6,361.405,3.1740000000000004,6,3,6
OC(=O)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5432,0.61,388.2250000000001,3.4175000000000013,6,3,6
OC(=O)CCNc1c(Br)cccc1Nc1ncnc2ccncc12,50210418,0.616595,388.2250000000001,3.4175000000000013,6,3,6
CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(=O)CSc1ncc[nH]1,51276658,0.62,473.9170000000002,4.985400000000003,8,2,8
