SMILES,Reactant_set_id,IC50 (nM),MW,LogP,HBA,HBD,Rotatable Bonds
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,5379,7.6,316.16200000000003,3.113100000000001,5,2,2
CNc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,5382,3.1,330.1890000000001,3.5726000000000013,5,2,3
Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,5386,0.37,354.21100000000007,4.022600000000002,5,1,2
Brc1cccc(Nc2ncnc3cc4n(CCN5CCOCC5)ncc4cc23)c1,5389,3.7,453.34400000000034,3.817800000000002,7,1,5
CN(C)c1ccc2ncnc(Nc3cccc(Br)c3)c2n1,5383,9.6,344.216,3.5969000000000015,5,1,3
Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,5392,0.8,353.22300000000007,4.627600000000002,4,1,2
OCC(O)Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,5393,1.6,413.2750000000001,3.4438000000000013,6,3,5
Brc1cccc(Nc2ncnc3cc4n(CCN5CCOCC5)ccc4cc23)c1,5396,3.7,452.35600000000034,4.422800000000002,6,1,5
Brc1cccc(Nc2ncnc3cc4n(CCCN5CCOCC5)ccc4cc23)c1,5397,8.8,466.3830000000004,4.8129000000000035,6,1,6
OC(=O)Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,5398,5.1,397.2320000000001,4.175200000000002,5,2,4
OCCN(CCO)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,5399,3.5,456.3440000000001,3.4038000000000004,6,4,8
CN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,5400,2.6,396.2920000000001,4.6788000000000025,4,2,4
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,5401,4.8,438.3290000000003,4.4494000000000025,5,2,4
CN(C)CCN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,5402,7.5,453.38800000000015,4.6106000000000025,5,2,7
COC(=O)CN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,5403,3.4,454.32800000000015,4.222000000000002,6,2,6
CN(CC(O)=O)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,5404,0.72,440.3010000000001,4.133600000000002,5,3,6
OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5408,0.24,360.21500000000003,2.9351000000000003,6,3,5
CN(CCO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5409,2.6,374.2420000000001,2.9594000000000005,6,2,5
OCC(O)CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5410,0.92,390.2410000000001,2.2960000000000003,7,4,6
CN(CC(O)CO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5411,3.2,404.2680000000001,2.3202999999999996,7,3,6
OCC(O)C(O)C(O)C(O)CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5414,4.8,480.31900000000013,0.37869999999999987,10,7,9
CN(CC(O)C(O)C(O)C(O)CO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5415,3.2,494.3460000000001,0.40300000000000075,10,6,9
COc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,5384,4.3,331.17300000000006,3.539500000000002,5,1,3
CN(C)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5417,8.8,401.31200000000007,3.8945000000000016,6,2,7
CN(C)CCCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5418,7.4,415.3390000000001,4.284600000000003,6,2,8
CN(C)CCCCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5419,8.4,429.3660000000001,4.674700000000003,6,2,9
Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,5421,3.2,429.3220000000003,3.2750000000000012,7,2,6
